127.0.0.1 - - [21/Nov/2018:23:21:03 -0800] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [21/Nov/2018:23:21:20 -0800] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [21/Nov/2018:23:21:21 -0800] "GET /Databaase/Sign_in.html HTTP/1.1" 200 484
127.0.0.1 - - [21/Nov/2018:23:21:21 -0800] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [21/Nov/2018:23:21:24 -0800] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [21/Nov/2018:23:21:26 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:21:26 -0800] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [21/Nov/2018:23:21:31 -0800] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [21/Nov/2018:23:22:16 -0800] "GET /Databaase/main.html HTTP/1.1" 200 570
127.0.0.1 - - [21/Nov/2018:23:22:16 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:22:43 -0800] "GET /Databaase/main.html HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:22:43 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:22:43 -0800] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [21/Nov/2018:23:22:44 -0800] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [21/Nov/2018:23:23:01 -0800] "GET /Databaase/Sign_up.html HTTP/1.1" 200 1633
127.0.0.1 - - [21/Nov/2018:23:23:01 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:23:01 -0800] "GET /Databaase/hanna.ttf HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:23:05 -0800] "GET /Databaase/Sign_up.html HTTP/1.1" 200 1633
127.0.0.1 - - [21/Nov/2018:23:23:05 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:23:49 -0800] "GET /Databaase/Sign_up.html HTTP/1.1" 200 1664
127.0.0.1 - - [21/Nov/2018:23:23:49 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:23:57 -0800] "GET /Databaase/Sign_up.html HTTP/1.1" 200 1664
127.0.0.1 - - [21/Nov/2018:23:23:57 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
